X_时间（h）,Y_E0净电网交互功率（MW）,Y_E1净电网交互功率（MW）
593,-620.0000000000,-620.0000000000
594,-620.0000000000,-620.0000000000
595,-620.0000000000,-620.0000000000
596,-620.0000000000,-620.0000000000
597,-543.6082995767,-620.0000000000
598,-388.3902004166,-620.0000000000
599,-309.4191004233,-620.0000000000
600,-280.0088987335,-620.0000000000
601,-317.8636008399,-620.0000000000
602,-451.1715991568,-620.0000000000
603,-540.0934000000,-620.0000000000
604,-605.6907995767,-620.0000000000
605,-620.0000000000,-620.0000000000
606,-620.0000000000,-620.0000000000
607,-620.0000000000,-620.0000000000
608,-620.0000000000,-620.0000000000
609,-620.0000000000,-620.0000000000
610,-620.0000000000,-620.0000000000
611,-620.0000000000,-620.0000000000
612,-620.0000000000,-620.0000000000
613,-620.0000000000,-620.0000000000
614,-620.0000000000,-620.0000000000
615,-620.0000000000,-620.0000000000
616,-620.0000000000,-620.0000000000
617,-620.0000000000,-620.0000000000
618,-620.0000000000,-620.0000000000
619,-620.0000000000,-620.0000000000
620,-618.6387004233,-620.0000000000
621,-493.8377008399,-620.0000000000
622,-374.6609991501,-620.0000000000
623,-253.6901004333,-620.0000000000
624,-313.5805004166,-620.0000000000
625,-319.5465999900,-620.0000000000
626,-379.0135999967,-620.0000000000
627,-518.7067999967,-620.0000000000
628,-620.0000000000,-620.0000000000
629,-620.0000000000,-620.0000000000
630,-620.0000000000,-620.0000000000
631,-620.0000000000,-620.0000000000
632,-620.0000000000,-620.0000000000
633,-620.0000000000,-620.0000000000
634,-620.0000000000,-620.0000000000
635,-620.0000000000,-620.0000000000
636,-620.0000000000,-620.0000000000
637,-620.0000000000,-620.0000000000
638,-620.0000000000,-620.0000000000
639,-620.0000000000,-620.0000000000
640,-620.0000000000,-620.0000000000
641,-620.0000000000,-620.0000000000
642,-620.0000000000,-620.0000000000
643,-620.0000000000,-620.0000000000
644,-617.4067995767,-620.0000000000
645,-556.2827008399,-620.0000000000
646,-395.1024995767,-620.0000000000
647,-302.9087000000,-620.0000000000
648,-227.9011991568,-620.0000000000
649,-335.2568004333,-620.0000000000
650,-373.2461004266,-620.0000000000
651,-560.1351000000,-620.0000000000
652,-610.0850004233,-620.0000000000
653,-620.0000000000,-620.0000000000
654,-620.0000000000,-620.0000000000
655,-620.0000000000,-620.0000000000
656,-620.0000000000,-620.0000000000
657,-620.0000000000,-620.0000000000
658,-620.0000000000,-620.0000000000
659,-620.0000000000,-620.0000000000
660,-620.0000000000,-620.0000000000
661,-620.0000000000,-620.0000000000
662,-620.0000000000,-620.0000000000
663,-620.0000000000,-620.0000000000
664,-620.0000000000,-620.0000000000
665,-620.0000000000,-620.0000000000
666,-620.0000000000,-620.0000000000
667,-620.0000000000,-620.0000000000
668,-619.1721000000,-620.0000000000
669,-566.6729008399,-620.0000000000
670,-378.9186995767,-620.0000000000
671,-262.1747995767,-620.0000000000
672,-301.8883995767,-620.0000000000
673,-265.0372991501,-620.0000000000
674,-347.7748004200,-620.0000000000
675,-525.8354008499,-620.0000000000
676,-618.8250004166,-620.0000000000
677,-620.0000000000,-620.0000000000
678,-620.0000000000,-620.0000000000
679,-620.0000000000,-620.0000000000
680,-620.0000000000,-620.0000000000
681,-620.0000000000,-620.0000000000
682,-620.0000000000,-620.0000000000
683,-620.0000000000,-620.0000000000
684,-620.0000000000,-620.0000000000
685,-620.0000000000,-620.0000000000
686,-620.0000000000,-620.0000000000
687,-620.0000000000,-620.0000000000
688,-620.0000000000,-620.0000000000
689,-620.0000000000,-620.0000000000
690,-620.0000000000,-620.0000000000
691,-620.0000000000,-620.0000000000
692,-620.0000000000,-620.0000000000
693,-557.4128995767,-620.0000000000
694,-390.2172991601,-620.0000000000
695,-359.3984000000,-620.0000000000
696,-256.9326995867,-617.3138983068
697,-250.2775999900,-620.0000000000
698,-369.9516000067,-620.0000000000
699,-510.1206995767,-620.0000000000
700,-593.9375995767,-620.0000000000
701,-620.0000000000,-620.0000000000
702,-620.0000000000,-620.0000000000
703,-620.0000000000,-620.0000000000
704,-620.0000000000,-620.0000000000
705,-620.0000000000,-620.0000000000
706,-620.0000000000,-620.0000000000
707,-620.0000000000,-620.0000000000
708,-620.0000000000,-620.0000000000
709,-620.0000000000,-620.0000000000
710,-620.0000000000,-620.0000000000
711,-620.0000000000,-620.0000000000
712,-620.0000000000,-620.0000000000
713,-620.0000000000,-620.0000000000
714,-620.0000000000,-620.0000000000
715,-620.0000000000,-620.0000000000
716,-598.2900000000,-620.0000000000
717,-539.5681004333,-620.0000000000
718,-478.1428995667,-620.0000000000
719,-312.4691000067,-620.0000000000
720,-307.5340004133,-620.0000000000
721,-298.1606995667,-620.0000000000
722,-413.7455000000,-619.9999997808
723,-526.8483004266,-620.0000000000
724,-620.0000000000,-620.0000000000
725,-620.0000000000,-620.0000000000
726,-620.0000000000,-620.0000000000
727,-620.0000000000,-620.0000000000
728,-620.0000000000,-620.0000000000
729,-620.0000000000,-620.0000000000
730,-620.0000000000,-620.0000000000
731,-620.0000000000,-620.0000000000
732,-620.0000000000,-620.0000000000
733,-620.0000000000,-620.0000000000
734,-620.0000000000,-620.0000000000
735,-620.0000000000,-620.0000000000
736,-620.0000000000,-620.0000000000
737,-620.0000000000,-620.0000000000
738,-620.0000000000,-620.0000000000
739,-620.0000000000,-620.0000000000
740,-620.0000000000,-620.0000000000
741,-502.1490000100,-620.0000000000
742,-373.6548000000,-620.0000000000
743,-347.8675000100,-620.0000000000
744,-307.1479000000,-620.0000000000
745,-328.1579995867,-620.0000000000
746,-428.5433004233,-620.0000000000
747,-579.6273991501,-620.0000000000
748,-611.8624995834,-620.0000000000
749,-620.0000000000,-620.0000000000
750,-620.0000000000,-620.0000000000
751,-620.0000000000,-620.0000000000
752,-620.0000000000,-620.0000000000
753,-620.0000000000,-620.0000000000
754,-620.0000000000,-620.0000000000
755,-620.0000000000,-620.0000000000
756,-620.0000000000,-620.0000000000
757,-620.0000000000,-620.0000000000
758,-620.0000000000,-620.0000000000
759,-620.0000000000,-620.0000000000
760,-620.0000000000,-620.0000000000
761,-620.0000000000,-620.0000000000
762,-620.0000000000,-620.0000000000
763,-620.0000000000,-620.0000000000
764,-598.9282995767,-620.0000000000
765,-485.2507004233,-620.0000000000
766,-463.4354995767,-620.0000000000
767,-379.5884995767,-620.0000000000
768,-281.4036008499,-620.0000000000
769,-288.7402004233,-620.0000000000
770,-442.5474995800,-620.0000000000
771,-517.2687995767,-620.0000000000
772,-599.4424000000,-620.0000000000
773,-620.0000000000,-620.0000000000
774,-620.0000000000,-620.0000000000
775,-620.0000000000,-620.0000000000
776,-620.0000000000,-620.0000000000
777,-620.0000000000,-620.0000000000
778,-620.0000000000,-620.0000000000
779,-620.0000000000,-620.0000000000
780,-620.0000000000,-620.0000000000
781,-620.0000000000,-620.0000000000
782,-620.0000000000,-620.0000000000
783,-620.0000000000,-620.0000000000
784,-620.0000000000,-620.0000000000
785,-620.0000000000,-620.0000000000
786,-620.0000000000,-620.0000000000
787,-620.0000000000,-620.0000000000
788,-620.0000000000,-620.0000000000
789,-507.7712000067,-620.0000000000
790,-415.6930004333,-620.0000000000
791,-342.0159012665,-620.0000000000
792,-264.9095999933,-620.0000000000
793,-291.0580991501,-620.0000000000
794,-356.6514999933,-620.0000000000
795,-524.3961000033,-620.0000000000
796,-620.0000000000,-620.0000000000
797,-620.0000000000,-620.0000000000
798,-620.0000000000,-620.0000000000
799,-620.0000000000,-620.0000000000
800,-620.0000000000,-620.0000000000
801,-620.0000000000,-620.0000000000
802,-620.0000000000,-620.0000000000
803,-620.0000000000,-620.0000000000
804,-620.0000000000,-620.0000000000
805,-620.0000000000,-620.0000000000
806,-620.0000000000,-620.0000000000
807,-620.0000000000,-620.0000000000
808,-620.0000000000,-620.0000000000
809,-620.0000000000,-620.0000000000
810,-620.0000000000,-620.0000000000
811,-620.0000000000,-620.0000000000
812,-620.0000000000,-620.0000000000
813,-558.8751008432,-620.0000000000
814,-453.0692995734,-620.0000000000
815,-324.4812004166,-620.0000000000
816,-238.4386991568,-620.0000000000
817,-276.0539004266,-620.0000000000
818,-439.3545004266,-620.0000000000
819,-552.2281991601,-620.0000000000
820,-620.0000000000,-620.0000000000
821,-620.0000000000,-620.0000000000
822,-620.0000000000,-620.0000000000
823,-620.0000000000,-620.0000000000
824,-620.0000000000,-620.0000000000
825,-620.0000000000,-620.0000000000
